RecordID,Date,Time,Address,Longitude,Latitude,Group
6,2016-10-07,10:13:00,14M EADOWS DR MILFORD OH 4,-84.2089861,39.1746236,Cincinnati
7,2016-11-25,14:35:00,201 CHAMBER DRIVE MILFORD OH 4,-84.2802471,39.159352,Cincinnati
20,2016-01-12,03:00:00,5346 Boehm Dr FAIRFIELD OH 4504,-84.528903,39.329959,Cincinnati
21,2016-12-01,19:25:00,6572 HARRISON AVE CINCINNATI OH 4524,-84.658085,39.194166,Cincinnati
24,2016-07-01,08:22:00,10700 MONTGOMERY RD CINCINNATI OH 25242,-84.3419226,39.2570923,Cincinnati
25,2016-06-14,21:05:00,3998 DRY RIDGE RD CINCINNATI OH 25252,-84.605086,39.2585337,Cincinnati
359,2016-01-12,15:25:00,325 Union St Hanover OH 43055,-83.8358939,38.7336384,Cincinnati
8320,2016-11-02,03:20:00,513 E MAIN ST BLANCHESTER OH 44122,-83.982913,39.297162,Cincinnati
13596,2016-10-14,02:35:00,78 EAST MAIN ST Addyston OH 45001,-84.69461,39.12785,Cincinnati
13597,2016-11-30,05:10:00,83 Main St Addyston OH 45001,-84.7077303,39.1362882,Cincinnati
13598,2016-09-12,10:00:00,7510 COUNTRY VILLAGE DR CINCINANTI OH 45002,-84.6866952,39.2133014,Cincinnati
13599,2016-04-18,22:10:00,6765 E MIAMI RIVER RD CLEVES OH 45002,-84.694738,39.213298,Cincinnati
13600,2016-01-26,01:06:00,5575 ohio 128 CLEVES OH 45002,-84.7491749,39.204403,Cincinnati
13601,2016-03-10,01:35:00,310 N Miami Ave Cleves OH 45002,-84.748667,39.165737,Cincinnati
13602,2016-06-16,00:10:00,4003 Walker Dr Cleves OH 45002,-84.772208,39.171571,Cincinnati
13603,2016-06-29,04:55:00,5839 Konga Dr Cleves OH 45002,-84.7377349,39.2076838,Cincinnati
13604,2016-07-10,19:30:00,208 Mount Nebo Rd Cleves OH 45002,-84.753238,39.156753,Cincinnati
13605,2016-07-20,20:15:00,12 Ridge Ave Cleves OH 45002,-84.748337,39.155216,Cincinnati
13606,2016-08-03,02:50:00,501 N Miami Ave Cleves OH 45002,-84.749421,39.167825,Cincinnati
13607,2016-08-01,05:50:00,8131 W Mill St Cleves OH 45002,-84.7056743,39.2126651,Cincinnati
13608,2016-08-28,19:20:00,408 N FINLEY ST CLEVES OH 45002,-84.751259,39.166928,Cincinnati
13609,2016-09-01,23:20:00,7533 ZION HILL RD CLEVES OH 45002,-84.6919039,39.182068,Cincinnati
13610,2016-09-15,04:35:00,100 MOUNT NEBO RD Cleves OH 45002,-84.751595,39.15717,Cincinnati
13611,2016-10-02,23:50:00,5817 Konga Dr Cleves OH 45002,-84.7377181,39.207087,Cincinnati
13612,2016-10-12,19:40:00,175 Pontius Ave Cleves OH 45002,-84.741525,39.158141,Cincinnati
13613,2016-10-25,04:20:00,154 SYMMES ST CLEVES OH 45002,-84.752214,39.158209,Cincinnati
13614,2016-09-27,17:48:00,133 MOUNT NEBO ROAD CLEVES OH 45002,-84.752399,39.155996,Cincinnati
13615,2016-09-27,22:55:00,406 WESTGATE DR CLEVES OH 45002,-84.746325,39.167188,Cincinnati
13616,2016-09-28,18:50:00,8763 ACACIA CT CLEVES OH 45002,-84.7302897,39.2074215,Cincinnati
13617,2016-09-28,21:45:00,8826 BLUEJAY VIEW DR Cleves OH 45002,-84.732012,39.225724,Cincinnati
13618,2016-10-03,19:55:00,122 W PORTER ST Cleves OH 45002,-84.7499684,39.1639599,Cincinnati
13619,2016-10-09,22:55:00,422 S MIAMI AVE CLEVES OH 45002,-84.748813,39.155533,Cincinnati
13620,2016-10-21,07:05:00,8129 W MILL ST CLEVES OH 45002,-84.7056033,39.2126664,Cincinnati
13621,2016-10-25,21:15:00,5801 RAINBOW HILL CLEVES OH 45002,-84.7356666,39.2086647,Cincinnati
13622,2016-11-09,00:55:00,408 N FINLEY ST CLEVES OH 45002,-84.751259,39.166928,Cincinnati
13623,2016-11-04,00:15:00,8181 W MILL ST CLEVES OH 45002,-84.7063027,39.2126817,Cincinnati
