RecordID,Date,Time,Address,Longitude,Latitude,Group
14,2016-09-13,13:15:00,"5101 Lucydale Ave, North Olmsted OH 4407",-81.9216469,41.415396,Cleveland
15,2016-10-25,04:40:00,4216 WOBURN AVE Cleveland OH 4410,-81.714107,41.436723,Cleveland
16,2016-10-04,03:25:00,3596 W 122ND ST CLEVELAND OH OH 4411,-81.7731,41.45521,Cleveland
18,2016-11-18,05:55:00,4820 Davis Rd PERRY OH 4481,-81.119099,41.762476,Cleveland
26,2016-05-27,02:30:00,1505 HERBERT DR LORAIN OH 31217,-82.192127,41.419337,Cleveland
4303,2016-05-11,14:35:00,231 N Main St Amherst OH 44001,-82.2273585,41.4006126,Cleveland
4304,2016-03-03,16:51:00,17 RANDOLPH LANE AMHERST OH 44001,-82.2174443,41.3670691,Cleveland
4305,2016-03-18,05:25:00,181 WOODHILL Amherst OH 44001,-82.215286,41.399218,Cleveland
4306,2016-03-14,19:30:00,7498 LEAVITT ROAD AMHERST OH 44001,-82.210992,41.3895777,Cleveland
4307,2016-04-13,12:10:00,7504 Leavitt Rd Amherst OH 44001,-82.210351,41.388236,Cleveland
4308,2016-08-09,14:00:00,93 HICKORY HOLLY DR AMHERST OH 44001,-82.247601,41.388968,Cleveland
4309,2016-07-01,12:10:00,339 Shady Dr Amherst OH 44001,-82.2247168,41.402958,Cleveland
4310,2016-09-06,22:00:00,220 WESTWOODS AMHERST OH 44001,-82.2512853,41.3916544,Cleveland
4311,2016-08-26,10:25:00,52000 PORTMAN RD AMHERST OH 44001,-82.325459,41.353571,Cleveland
4312,2016-10-12,14:50:00,340 CORNELL AVE AMHERST OH 44001,-82.223307,41.401489,Cleveland
4313,2016-12-13,14:30:00,7498 Leavitt Rd Amherst OH 44001,-82.210992,41.3895777,Cleveland
4314,2016-01-27,21:25:00,449 W Main St South Amherst OH 44001,-82.256603,41.354513,Cleveland
4315,2016-03-29,16:50:00,161 E Main St South Amherst OH 44001,-82.235972,41.357545,Cleveland
4316,2016-03-14,11:30:00,302 E Main St South Amherst OH 44001,-82.232759,41.358432,Cleveland
4326,2016-01-07,14:40:00,5524 N Ridge Rd W Ashtabula OH 44004,-80.866437,41.830136,Cleveland
4384,2016-10-15,20:55:00,5311 NORTH RIDGE ROAD WEST Ashtabula OH 44004,-80.862465,41.833473,Cleveland
4410,2016-12-21,20:30:00,5632 NEW LONDON RD Ashtabula OH 44004,-80.868957,41.838986,Cleveland
4416,2016-05-27,00:00:00,2740 CLAY ST AUSTINBURG OH 44010,-80.851348,41.781247,Cleveland
4417,2016-11-08,23:30:00,9350 CENTER RD (SLEEP INN HOTEL AND SUITES) AUSTINBURG OH 44010,-80.853988,41.791185,Cleveland
4418,2016-04-20,15:25:00,2582 SHAKESPEAR 2582 OH 44011,-82.007847,41.454521,Cleveland
4419,2016-02-12,12:25:00,1101 Jaycox Rd Avon OH 44011,-81.9987831,41.4728933,Cleveland
4420,2016-03-09,10:20:00,1050 Jaycox Rd Avon OH 44011,-82.001784,41.473792,Cleveland
4421,2016-03-03,15:00:00,32900 DETROIT RD AVON OH 44011,-81.9818533,41.4572403,Cleveland
4422,2016-03-16,16:30:00,38039 Chester Rd Avon OH 44011,-82.0445147,41.4659211,Cleveland
4423,2016-04-17,22:55:00,2730 Joseph St Avon OH 44011,-81.9942389,41.449132,Cleveland
4424,2016-04-22,12:20:00,36550 Chester Rd Avon OH 44011,-82.025834,41.4676951,Cleveland
4425,2016-05-11,17:45:00,34922 Mills Rd Avon OH 44011,-82.005358,41.419115,Cleveland
4426,2016-07-29,12:20:00,37617 Detroit Rd Avon OH 44011,-82.040842,41.446621,Cleveland
4427,2016-08-29,04:30:00,2025 JULIA AVE AVON OH 44011,-82.037184,41.460512,Cleveland
4428,2016-08-02,07:00:00,1610 Moore Rd Avon OH 44011,-82.0487818,41.4657637,Cleveland
4429,2016-08-12,04:50:00,1933 EATON DR AVON OH 44011,-82.038484,41.461742,Cleveland
