,Latitude,Longitude
1134 Inman St,41.0472964,-81.5000984
A Better Job Home Improvement,41.049409,-81.5005733
ARCHWOOD MARATHON,41.047062,-81.500339
ATM,41.0499643,-81.5035422
ATM Express,41.0469921,-81.5003605
Access to Money,41.0499999,-81.5034908
Asian Supermarket,41.0470838,-81.50074029999999
CVS,41.1370005,-81.5457235
CVS Pharmacy,41.1370005,-81.5457235
CVS Photo,41.1370005,-81.5457235
Caesar Security Consulting LLC,41.139307,-81.5410771
"Carey & Associates, Inc",41.13812999999999,-81.544434
Cascade Falls Apartments,41.13700399999999,-81.5416
Far East Oriental Market,41.0465957,-81.50068069999999
Inman St & Eva Ave,41.049212,-81.49994199999999
Jac Games,41.1383983,-81.54293009999999
Lianna Development Corporation,41.049035,-81.504505
M Campana Fitness,41.13839109999999,-81.5429967
MP Photography,41.1402476,-81.5392329
MetroPCS Authorized Dealer,41.05011289999999,-81.5032617
Miller Jonathon Rev,41.13978700000001,-81.539022
MoneyGram,41.1369968,-81.5457023
Morrow Lee a DDS,41.138244,-81.5396219
Nick's Pizza,41.0470908,-81.49965329999999
Park Lane Manor of Akron Inc,41.0499328,-81.50138439999999
"Paul Royer, RN",41.1383983,-81.54293009999999
"Peek A Boo Wraps, LLC",41.051077,-81.501562
Portage Trail & Amber Hills,41.1390636,-81.5365252
Portage Trail & Treetop Trail,41.1382876,-81.54143789999999
Portage Trail Ext & Treetop Trl,41.1382418,-81.54087439999999
Portage Trail Ext & Winding Brook Dr,41.1375487,-81.54483359999999
Proforma Solution Ventures Inc.,41.1383475,-81.5444457
Sketch-Lite Productions,41.1403475,-81.5365418
Studio Move,41.1383733,-81.5429789
Thanaone,41.0470838,-81.50074029999999
Timber Top Apartments,41.138967,-81.54019
Todds Safety Services,41.14219839999999,-81.5390819
Total Experience,41.05011289999999,-81.50326179999999
