,Latitude,Longitude
(Dnu) Clarkwood Pkwy & Green Rd,41.439753,-81.517144
(Nas) Glenwood Av & Ramage Av,41.399363,-81.570309
100 Black Men-Greater Cleveland,41.595035,-81.49102700000002
14183 Superior Rd,41.51544399999999,-81.573398
14200 Superior Rd,41.515502,-81.573698
1451 E 260th St,41.590689,-81.502674
16904 Euclid Av,41.548656,-81.56213
1st Quality Auto Sales & Repair,41.578421,-81.570922
2 Birds Shuttle and Detail,41.4906731,-81.709013
20667 Ellacott Pkwy,41.4415445,-81.53327949999999
20955 Ellacott Pkwy,41.4415921,-81.5325529
21051 Ellacott Pkwy,41.441515,-81.53196
21133 Ellacott Pkwy,41.441815,-81.53067899999999
21170 Ellacott Pkwy,41.441782,-81.53003
21357 Ellacott Pkwy,41.44185,-81.528977
21842 Clarkwood Pkwy,41.441931,-81.520895
22945 Clarkwood Pkwy,41.43982899999999,-81.519165
22990 Clarkwood Pkwy,41.43975,-81.51903999999999
23600 Emery Rd,41.435087,-81.510525
24205 Emery Rd,41.435193,-81.50841
24307 Emery Rd,41.435189,-81.507274
252 Tattoo,41.4459624,-81.7674253
2nd Chance Lounge,41.5871605,-81.5406586
2nd II None Thrift Shop,41.464047,-81.744287
3800 Woodland Av,41.490047,-81.661182
400 Richmond Park Dr (North),41.558584,-81.488587
4323 Clarkwood Pkwy,41.442646,-81.52354799999999
433 Richmond Park Dr (East),41.55677,-81.48805399999999
4361 Clarkwood Pkwy,41.442223,-81.521227
4400 Clarkwood Pkwy,41.440344,-81.520623
444 Park,41.55892,-81.48952299999999
4440 Granada Blvd,41.4387418,-81.52073229999999
4480 Granada Blvd,41.43805200000001,-81.520631
451 Richmond Park Dr (West),41.55673600000001,-81.490764
4521 Granada Blvd,41.436567,-81.521204
4671 Country Ln,41.432835,-81.49087399999999
4731 Country Ln (Arbor Crest Apts),41.430682,-81.49160239999999
4800 Country Ln,41.42990899999999,-81.492279
4800 Country Ln (Layover),41.429747,-81.49238799999999
4966 Woodland Av,41.488361,-81.653903
500 Babbitt Rd,41.603735,-81.521839
540 Babbitt Rd,41.602943,-81.521079
6900 Garden Valley Av,41.475173,-81.638504
7055 Garden Valley Av,41.47331000000001,-81.639334
7217 Garden Valley Av,41.47307199999999,-81.637778
7451 Garden Valley Av,41.47305,-81.63633500000002
7631 Garden Valley Av,41.472966,-81.633502
7851 Garden Valley Av,41.473042,-81.633262
8720 Memphis Av,41.439994,-81.745667
8720 Memphis Av (Brooklyn Trinity Church),41.440113,-81.74544
891 Babbitt Rd,41.59662000000001,-81.515293
941 Babbitt Rd,41.596158,-81.51483499999999
A & A Auto Service,41.51330799999999,-81.57645
A & I Health Solutions,41.4907941,-81.7090216
A & J Invesment Group,41.46826599999999,-81.59842499999999
A & J Property Doctors LLC,41.4631522,-81.5824167
A A On Time Tax Services,41.436043,-81.61965099999999
A Auto Parts By Bellaire,41.4478689,-81.7641316
A Bass Car Rental Inc,41.43809,-81.524478
A-1 Hauling,41.46071,-81.773226
AB Management LLC,41.589464,-81.50633599999999
ACE Cash Express,41.538971,-81.572529
ACENT ENTERPRISES CORPORATIONS,41.52729799999999,-81.614576
ATIKA Styles Beauty Salon,41.4336121,-81.7116894
ATM,41.466771,-81.644752
ATM (Chase Bank),41.58312079999999,-81.4872049
ATM (Clark),41.5855008,-81.540605
ATM (Gas USA),41.54747329999999,-81.56437720000001
ATM (Huntington National Bank),41.5839813,-81.48749459999999
ATM (Indian Hills Sunoco Check Cash),41.5610763,-81.5447318
ATM (Key Bank),41.464088,-81.58427569999999
ATM Express,41.4576223,-81.6078625
"ATM USA, LLC",41.602836,-81.44360650000002
ATruck4Hire LLC,41.5713062,-81.5715106
Able One's Moving Co,41.4553749,-81.61622799999999
Abyssinia Baptist Church,41.5228289,-81.6092931
Academy N Properties Management LLC,41.453482,-81.607114
Access to Money,41.4660244,-81.59532659999999
Accommodata Corporation,41.586336,-81.546436
Account Bulk,41.56106239999999,-81.5491948
"Adrienne Wallace, LPN",41.393611,-81.561893
Advance Auto Parts,41.5858879,-81.50594029999999
Advanced Mechanical Contractors,41.4513221,-81.7021049
Advantage Property Ventures,41.51453599999999,-81.620354
Aero Controlex Group,41.538098,-81.530092
Aetna Plating Co Inc,41.4695561,-81.6446667
Affordable Appliance,41.5730472,-81.5664766
Affordable Rubber Inc,41.5343919,-81.599453
Agape Style Studio,41.4379345,-81.699114
Agredata,41.4319008,-81.6302015
"Akia F. Foster, LSW",41.4809587,-81.60050849999999
Alba Villa Chelsea Apartments,41.4873796,-81.7624309
Albu John F,41.437296,-81.696574
Aldo's,41.4396321,-81.7435177
Alhikma Travel,41.459989,-81.775701
All 4 You Realtors LLC,41.525101,-81.61160699999999
