,Latitude,Longitude
21st Century Community Development,39.9272859,-82.8866063
AML Express,39.91096419999999,-82.8197505
ATM,39.94092899999999,-83.14188539999999
ATM (Thorntons Quick Cafe & Market),39.91119620000001,-82.82330139999999
Acton Mobile,39.935515,-82.886274
Advance Auto Parts,39.54214079999999,-82.41768479999999
African Market,39.9200039,-82.8785781
Alere Medical Inc,39.93978000000001,-83.13510699999999
Alfa Beauty Salon,39.94160520000001,-83.1418075
Ali Rose Water Bead & Designs,40.0641528,-82.4146717
Alkire Gate Apartments,39.914215,-83.11244599999999
Alkire Glen,39.914976,-83.108616
All Ohio Girls Basketball,39.9180533,-82.876975
Alum Creek Dr & Winslow Dr,39.926085,-82.93606799999999
Alum Crest High School,39.92629399999999,-82.937899
American Family Insurance - Felix Quachey,40.0619932,-82.99003859999999
Amway,39.9641102,-83.1536995
Appian Manufacturing Corporation,39.9262383,-82.941099
Ardsley Ridge,39.968353,-82.80957599999999
Arena Crossing Apartments,39.970835,-83.00443899999999
Ashery Farms,40.0334454,-82.4436656
Ashley Village,39.926909,-82.88979599999999
Aston Villa Apartments,39.9177823,-82.8768405
Attitudz Salon,40.0300471,-82.442697
B Lashes,40.0620094,-82.9900452
B-Lashes Permanent Makeup & Beauty Parlor,40.0619932,-82.99003859999999
BBR Restaurant,39.97177,-83.0055
BIKE DOCTOR,40.0303339,-82.4412531
Bar Louie,39.97250200000001,-83.004299
Barber Shop Harmony Society,39.9369448,-82.8276736
Barkan Neal J,39.9349086,-82.8291258
Beach Hut Tanning,40.062228,-82.41362079999999
Big Mama's Play House & Learning,39.9201865,-82.8782998
Bob's Pizza House,39.541496,-82.41855509999999
Boost Mobile By Cellular Vision,39.9114011,-82.8191085
Boost Mobile Store by YSF #5,39.9409934,-83.1418236
Brookview Apartments,39.9663184,-83.15303639999999
Brothers Bar & Grill,39.9716438,-83.0049741
Buckeye Vapors,39.8906658,-83.08206129999999
Burger King,39.8932764,-83.0835156
Business Harmony Consultants,40.062038,-82.990061
CVS,39.9102294,-82.8234894
CVS Pharmacy,39.9102299,-82.823488
CVS Photo,39.9102299,-82.823488
Camillus Enterprises Ltd,39.933974,-82.825932
Carquest Auto Parts,39.5423339,-82.420895
Castrop Julie MD,39.9203617,-82.8784873
"Cathy S. Dennison, LPN",39.543202,-82.420794
Center Court Apartments,40.06540589999999,-82.9914394
Certified Oil Co,39.54202980000001,-82.4193243
Chandler Commons Apartments,39.9364205,-82.8178614
"Chandol L. Anderson, LPN",39.93652580000001,-82.82017549999999
Chatham Village Apartments,39.926898,-82.88832500000001
Cherry Blossom Senior Apartments,39.937939,-83.138013
China House,39.9112822,-82.8193079
Church of God-Franklin County,39.9268358,-82.8854587
Church of Jesus Christ of LDS,39.93792719999999,-82.8173762
Cindamar Books LLC,40.0619725,-82.4149963
Citation Club Apartments,39.9642044,-83.1533725
City of Columbus - Division of Police Recruitment,40.06193990000001,-82.9888023
Cold Stone Creamery,39.9694,-83.006356
Columbus Arts & Technology Academy,39.9276448,-82.8846094
Columbus Blue Jackets,39.96935119999999,-83.0063849
Columbus Housing Authority,39.925839,-83.092134
Columbus Ink Tattoo Studios,39.92405259999999,-83.09212509999999
Columbus Ohio South Stake Building,39.93792719999999,-82.8173762
Columbus Park Apartments,39.9250951,-82.9383015
Compact Power Equipment Rental,39.934899,-82.82891699999999
Concealed Carry of Columbus,39.9374853,-82.826583
Cornerstone Crossing,39.9381259,-82.8270656
CosmoProf,39.8916607,-83.08239879999999
Critters & More Pet Store,39.541528,-82.417006
"Danni Ker, Eco-Consultant",40.06432279999999,-82.99028469999999
Day Or Night Maintenance,39.9364406,-82.8195953
Days Inn & Suites Columbus East Airport,39.938056,-82.82866659999999
Dockers,40.0321363,-82.44383499999999
Donatos Pizza,39.90950179999999,-82.8225549
"Dr. Muhammad N. Akhtar, MD",40.061956,-82.9900328
"Dr. Roy Gottlieb, DDS",40.0620065,-82.9900445
Dwight Lenox Music LLC dba The Lenox Avenue Express Jazz and Dance Band,39.96713029999999,-82.80792319999999
EXPRESS LIVE!,39.9698099,-83.00994879999999
East Stake,39.93792719999999,-82.8173762
Eastgreen On the Commons,39.9381974,-82.8269248
Eastland Primary Care Center,39.9205231,-82.87808079999999
Ebe Health Care LLC,39.92678629999999,-82.8850255
Ebenezer Baptist Church,39.916413,-82.87542599999999
Eden at Caleb's Crossing,39.9381259,-82.8270656
Expert Medical Billing,39.924245,-83.0903672
Fairgate Apartments,39.9358673,-82.9505387
Fairmoor Elementary School,39.9617193,-82.9121363
Fairmoor Presbyterian Church,39.9643104,-82.91389199999999
Fairwood Swimming Pool,39.938488,-82.9504918
Family History Center,39.93792719999999,-82.8173762
Far East office cleaning,40.0647575,-82.98980209999999
"Felicia Davis, LPN",39.9373333,-82.8869464
Finders Keepers,40.0303041,-82.441267
Fixari Family Dental,39.925741,-82.884126
Flats on Vine,39.9710224,-83.0084215
Flavors of India,39.97189469999999,-83.0043147
Fountain Park East,39.917846,-82.876913
"Fritz Baumann & Sons, LLC",39.9362023,-82.9538194
Garden Center at The Home Depot,39.9345523,-82.8289559
Gender Rd Town Center 1,39.91010799999999,-82.822109
Go Ahead...Plan It!,39.9362326,-82.8163825
Gordon Biersch,39.970022,-83.00456489999999
Graffiti Tees Ltd,39.9241304,-83.09209450000002
Grannie's Palace Child Care,39.911821,-82.8180447
Greenock Rd & Demorest Rd,39.92372699999999,-83.092233
Grove City BMV License Agency,39.8916527,-83.08280429999999
Guitar Guys LLC,40.03362199999999,-82.443629
H&R Block,39.9090861,-82.82262589999999
HANDPRINTS PLAYCARE,40.06667869999999,-82.98982529999999
Hawthorne Lakes,39.9666592,-83.15390260000001
Heathwood Village Apartments,40.032549,-82.43981199999999
Holiday Inn Express Newark-Heath,40.031194,-82.43925899999999
Hoover Garden Apartments,40.0643518,-82.4138068
