,Latitude,Longitude
Aim For Handicapped,39.7252741,-84.1536915
"Angela N. Smittie, LISW",39.8297004,-84.2997357
Black Wall Stre,39.82875799999999,-84.301169
Castlebrook Apartments,39.830954,-84.30036199999999
Cloak and Dagger Tattoo Studio,39.7257387,-84.15318309999999
Dave Leonard - State Farm Insurance Agent,39.8328289,-84.2984218
Holzfaster Cecil Mc Knight: Holzfaster Byron E,39.72563379999999,-84.15385189999999
Holzfaster Cecil Mc Knight: Meehling John C,39.72563379999999,-84.15385189999999
"Holzfaster, Cecil, McKnight & Mues, LPA",39.72563400000001,-84.153852
"Holzfaster, Cecil, McKnight and Mues, LPA",39.72563379999999,-84.15385189999999
"Holzfaster, Cecil, McKnight, & Mues",39.72563379999999,-84.15385189999999
Horace Mann,39.7275808,-84.15815300000001
Horace Mann Elementary School,39.7274559,-84.1571158
LaMattina String Studio,39.7245575,-84.154952
Lakewoods,39.7276378,-84.1538629
Lakewoods Beauty Shop,39.7276378,-84.1538629
New Life Anti-Aging,39.7257535,-84.1531874
Ohio Criminal Defense Attorney,39.72563379999999,-84.15385189999999
Shale R Anne,39.72563379999999,-84.15385189999999
Sycamore Square Apartments,39.7255029,-84.1575179
"Terri L. Cooper, LPN",39.8314301,-84.300308
Westbrook @ Macduff,39.832877,-84.300629
Westbrook @ Salem,39.833008,-84.29974
Westbrook Rd @ Salem Av,39.832991,-84.29946799999999
Wilmington House Apartments,39.72725439999999,-84.1548687
Wilmington Pointe Apartments,39.7289356,-84.1571156
Woodland Hills,39.830954,-84.30036199999999
