RecordID,Date,Time,Address,Longitude,Latitude,Group
4,2016-11-25,11:40:00,2710 TOWNE DR BEAVERCREEK OH 4,-84.0515829,39.7666812,Dayton
22,2016-12-06,17:25:00,1164 E DAYTON YELLOW SPRINGS RD FAIRBORN OH 4532,-83.9962796,39.7830273,Dayton
23,2016-01-12,21:30:00,9000 Springmeadow Ln Trotwood OH 4542,-84.2961706,39.8204415,Dayton
27,2016-12-19,17:20:00,315 South St Leesburg OH 32374,-83.550259,39.346769,Dayton
741,2016-01-25,17:05:00,389 W Main St Saint Paris OH 43072,-83.9677347,40.1299679,Dayton
742,2016-11-28,12:00:00,2574 KITE RD SAINT PARIS OH 43072,-83.9067569,40.0838493,Dayton
743,2016-10-20,14:00:00,7800 US RT 36 St Paris OH 43072,-83.9088435,40.1221591,Dayton
767,2016-02-05,19:55:00,244 Short Game Farm Rd Urbana OH 43078,-83.7371005,40.1935482,Dayton
768,2016-02-25,23:45:00,139 Taft Ave Urbana OH 43078,-83.751941,40.1197075,Dayton
769,2016-03-25,10:10:00,950 Miami St Urbana OH 43078,-83.7670644,40.1091727,Dayton
770,2016-04-01,10:30:00,718 GWYNNE ST URBANA OH 43078,-83.767359,40.113962,Dayton
771,2016-05-11,21:50:00,128 Orchard Dr Urbana OH 43078,-83.757414,40.101538,Dayton
772,2016-05-31,10:35:00,122 Taft Ave Urbana OH 43078,-83.7514093,40.1198585,Dayton
773,2016-06-01,10:50:00,331 E Lawn Ave Urbana OH 43078,-83.7405158,40.1104246,Dayton
774,2016-06-02,18:30:00,225 Sara St Urbana OH 43078,-83.768223,40.11105,Dayton
775,2016-06-24,11:10:00,929 Railroad St Urbana OH 43078,-83.758553,40.122776,Dayton
776,2016-06-27,11:00:00,318 CHURCH ST URBANA OH 43078,-83.7482964,40.110027,Dayton
777,2016-07-29,19:30:00,929 Railroad St URBANA OH 43078,-83.758553,40.122776,Dayton
778,2016-08-16,17:20:00,633 WASHINGTON AVE URBANA OH 43078,-83.739459,40.1115968,Dayton
779,2016-08-17,19:30:00,627 E Court St Urbana OH 43078,-83.739923,40.108279,Dayton
780,2016-08-24,13:05:00,5860 Terre Haute Rd Apt 26 Urbana OH 43078,-83.8839409,40.03323,Dayton
781,2016-09-22,20:50:00,5700 STATE ROUTE 55 URBANA OH 43078,-83.8755655,40.0520048,Dayton
782,2016-09-15,15:30:00,808 N Oakland St Urbana OH 43078,-83.7644232,40.1172924,Dayton
783,2016-09-27,13:30:00,140 DEWEY AVE Urbana OH 43078,-83.7578862,40.1071952,Dayton
784,2016-09-21,02:05:00,422 STORMS AVE Urbana OH 43078,-83.7610491,40.1050578,Dayton
785,2016-11-28,17:10:00,4611 CEDAR CREEK RD URBANA OH 43078,-83.796158,40.046629,Dayton
786,2016-11-04,16:59:00,4403 US HIGHWAY 68 URBANA OH 43078,-83.77902,40.0491111,Dayton
787,2016-11-21,13:40:00,1645 SHORT CUT RD Urbana OH 43078,-83.7268422,40.0857956,Dayton
